Species	1-288	289-624	625-929	930-1706	1707-1763	1764-2017	2018-2291	2292-2684	2685-2809	2810-3027	3028-3289	3290-3635	3636-3971	3972-4258	4259-4517	4518-5266	5267-5629	5630-5977	5978-6125	6126-6340	6341-6635	6636-6954	6955-7294	7295-7613	7614-7931	7932-7988	7989-8263	8264-8544	8545-8985	8986-9297	9298-9629	9630-9949	9950-10270	10271-10798	10799-11032	11033-11195	11196-11371	11372-11684	11685-11982	11983-12284	12285-12560	12561-12928	12929-13085	13086-13175	13176-13476	13477-13758	13759-14112	14113-14432	14433-14561	14562-14746	14747-14917	14918-15132	15133-15446	15447-15581	15582-15739	15740-16029	16030-16154	16155-16751	16752-17024	17025-17330	17331-18025	18026-18294	18295-18592	18593-18860	18861-19176	19177-19487	19488-19789	19790-20063	20064-20355	20356-20654	20655-20900	20901-21103	21104-21198	21199-21482	21483-21774	21775-21899	21900-22052	22053-22363	22364-22475	22476-22654	22655-22906	22907-23160	23161-23282	23283-23440	23441-23731	23732-23925	23926-24219	24220-24471	24472-24615	24616-24748	24749-25010	25011-25635	25636-25908	25909-26019	26020-26197	26198-26511	26512-26792	26793-26908	26909-27046	27047-27115	27116-27222	27223-27491	27492-27736	27737-27912	27913-28171	28172-28373	28374-28438	28439-28730	28731-28996	28997-29269	29270-29522	29523-29653	29654-29804	29805-30062	30063-30203	30204-30331	30332-30589	30590-30780	30781-31406	31407-31644	31645-32265	32266-32942	32943-33212	33213-33471	33472-33728	33729-34003	34004-34061	34062-34183	34184-34437	34438-34661	34662-34755	34756-34902	34903-35078	35079-35317	35318-35901	35902-36145	36146-36391	36392-37003	37004-37618	37619-37865	37866-38073	38074-38295	38296-38501	38502-38726	38727-38981	38982-39205	39206-39430	39431-39666	39667-39898	39899-39959	39960-40129	40130-40241	40242-40311	40312-40492	40493-40737	40738-41264	41265-41331	41332-41491	41492-41697	41698-41890	41891-42155	42156-42337	42338-42564	42565-42798	42799-42866	42867-42975	42976-43214	43215-43434	43435-43604	43605-43778	43779-43976	43977-44200	44201-44411	44412-44599	44600-45143	45144-45368	45369-45586	45587-45672	45673-45785	45786-45957	45958-46170	46171-46400	46401-46590	46591-46764	46765-46962	46963-47176	47177-47393	47394-47609	47610-47824	47825-48041	48042-48252	48253-48430	48431-48683	48684-48883	48884-49088	49089-49282	49283-49477	49478-49656	49657-49869	49870-50077	50078-50253	50254-50432	50433-50619	50620-50830	50831-50994	50995-51204	51205-51404	51405-51913	51914-52115	52116-52298	52299-52806	52807-52991	52992-53174	53175-53700	53701-53783	53784-53910	53911-54113	54114-54651	54652-54840	54841-55041	55042-55204	55205-55390	55391-55540	55541-55700	55701-55856	55857-56353	56354-56548	56549-56636	56637-56704	56705-56901	56902-57447	57448-57649	57650-57826	57827-58005	58006-58185	58186-58556	58557-58655	58656-58846	58847-59144	59145-59319	59320-59646	59647-59830	59831-60030	60031-60205	60206-60378	60379-60503	60504-60694	60695-60820	60821-60885	60886-61356	61357-61508	61509-61679	61680-61856	61857-62050	62051-62232	62233-62416	62417-62605	62606-62794	62795-62973	62974-63323	63324-63448	63449-63639	63640-64137	64138-64311	64312-64465	64466-64634	64635-64814	64815-64967	64968-65458	65459-65641	65642-65821	65822-66299	66300-66476	66477-66954	66955-67135	67136-67354	67355-67629	67630-67799	67800-67977	67978-68124	68125-68305	68306-68356	68357-68462	68463-68527	68528-68644	68645-68761	68762-68985	68986-69175	69176-69665	69666-69841	69842-70013	70014-70190	70191-70682	70683-70861	70862-71040	71041-71197	71198-71706	71707-71872	71873-72028	72029-72121	72122-72181	72182-72262	72263-72571	72572-72664	72665-72802	72803-72960	72961-73423	73424-73855	73856-74848	74849-75860	75861-76034	76035-76207	76208-76371	76372-76866	76867-77330	77331-77470	77471-77607	77608-77738	77739-77939	77940-78084	78085-78540	78541-78711	78712-78876	78877-79049	79050-79184	79185-79331	79332-79483	79484-80479	80480-80549	80550-80646	80647-80797	80798-80956	80957-81103	81104-81249	81250-81378	81379-81518	81519-81677	81678-81784	81785-81931	81932-82087	82088-82249	82250-82409	82410-82581	82582-82725	82726-82848	82849-82994	82995-83139	83140-83283	83284-83409	83410-83534	83535-83963	83964-84391	84392-84867	84868-85016	85017-85167	85168-85292	85293-85382	85383-85450	85451-85604	85605-85756	85757-86176	86177-86605	86606-87050	87051-87207	87208-87350	87351-87762	87763-88198	88199-88605	88606-88754	88755-89178	89179-89602	89603-89753	89754-90216	90217-90342	90343-90493	90494-90869	90870-91303	91304-91450	91451-91588	91589-91728	91729-91866	91867-91983	91984-92133	92134-92263	92264-92344	92345-92542	92543-92689	92690-92817	92818-92992	92993-93244	93245-93705	93706-93846	93847-93965	93966-94189	94190-94411	94412-94552	94553-94610	94611-94929	94930-95067	95068-95499	95500-95620	95621-95764	95765-95897	95898-96044	96045-96155	96156-96551	96552-96673	96674-96815	96816-96929	96930-97195	97196-97364	97365-97497	97498-97621	97622-98072	98073-98210	98211-98362	98363-98470	98471-98587	98588-98812	98813-98980	98981-99410	99411-99816	99817-100231	100232-100282	100283-100339	100340-100455	100456-100575	100576-100695	100696-101577	101578-101694	101695-101939	101940-102019	102020-102126	102127-102223	102224-102357	102358-102465	102466-102593	102594-103017	103018-103134	103135-103266	103267-103684	103685-103799	103800-103922	103923-104044	104045-104167	104168-104581	104582-105003	105004-105359	105360-105489	105490-105865	105866-105975	105976-106064	106065-106846	106847-106921	106922-107024	107025-107149	107150-107547	107548-107655	107656-107763	107764-108123	108124-108509	108510-108629	108630-108682	108683-108998	108999-109101	109102-109516	109517-109914	109915-110275	110276-110366	110367-110485	110486-110844	110845-111183	111184-111296	111297-111400	111401-111491	111492-111895	111896-112000	112001-112844	112845-113237	113238-113494	113495-113554	113555-113671	113672-113772	113773-113871	113872-114250	114251-114656	114657-115053	115054-115431	115432-115532	115533-115920	115921-116023	116024-116073	116074-116366	116367-116591	116592-117429	117430-117807	117808-118188	118189-118461	118462-118524	118525-118870	118871-119218	119219-119596	119597-119681	119682-120032	120033-120114	120115-120309	120310-120404	120405-120509	120510-120607	120608-120708	120709-121046	121047-121385	121386-121694	121695-121796	121797-122155	122156-122539	122540-122642	122643-122926	122927-122992
Triops_australiensis	100	100	0	100	0	0	0	93	100	100	91	100	100	89	77	6	96	100	99	81	0	93	85	100	100	100	100	100	100	100	0	0	100	90	100	100	100	100	100	100	100	100	0	0	0	0	0	100	100	100	100	27	100	100	100	100	2	0	100	87	77	100	0	100	100	0	100	0	100	0	100	100	98	100	0	100	100	81	100	100	100	0	100	100	100	100	0	100	0	0	100	100	0	0	0	0	85	100	100	100	100	100	100	100	100	0	0	0	100	100	100	100	100	100	100	68	0	100	0	0	0	0	100	100	100	0	100	100	100	100	100	72	97	100	96	85	0	0	73	99	88	100	0	0	100	0	100	0	100	0	0	100	100	97	0	100	100	100	100	100	11	100	100	0	100	100	20	100	100	0	100	100	0	100	0	100	100	100	100	0	100	100	100	0	100	100	100	100	100	0	0	100	100	100	100	100	100	100	0	0	100	97	100	10	100	100	0	0	100	100	0	100	100	0	100	100	100	100	0	100	0	98	100	100	0	100	100	0	0	0	100	0	100	100	0	0	0	100	0	0	100	100	0	100	100	0	100	0	0	100	0	100	0	0	100	100	100	100	0	0	0	100	100	0	100	100	100	100	0	100	0	89	0	0	0	100	100	86	0	100	0	100	100	0	0	0	81	0	100	100	100	97	0	100	100	0	97	0	0	99	99	0	0	0	100	97	100	100	76	100	1	100	98	0	100	0	100	100	100	100	0	99	100	0	0	98	100	100	0	0	100	100	100	0	100	97	0	100	100	100	100	100	0	100	0	0	100	100	97	0	91	100	100	100	86	0	99	99	100	91	99	100	100	100	100	0	100	98	0	84	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	25	100	100	100	100	100	100	100	100	100	100	99	100	79	100	100	0	100	100	100	1	100	100	100	100	100	100	98	100	0	100	100	100	100	100	0	100	0	100	100	100	100	99	100	100	100	67	100	100	0	100	100	100	86	100	100	0	100	100	100	100	100	100	100	100	100	0	0	0	100	0	100	100	0	100	100	100	100	92	100	100	100	100	100	100	100	100	100	100	0	100	0	100	0	100	100	100	100	100	0	90	100	100	100	83	100	100	100	0	90	0	0	100	100	100	100	0	100	5	100	100	100	0	100	100	96	0	100	100	100	0	100	100	100
Lynceus_sp.	0	98	100	74	100	100	0	93	100	100	100	0	87	100	100	100	5	100	0	0	100	0	100	100	0	100	100	0	0	100	100	95	82	100	50	100	100	1	100	100	100	86	100	100	100	100	78	100	100	100	100	100	100	100	100	100	2	0	100	100	100	0	96	100	100	0	100	0	79	100	0	0	0	100	100	0	0	0	89	100	100	100	100	100	100	100	100	0	100	100	100	0	0	100	100	100	0	100	100	0	0	100	100	100	0	0	0	100	100	100	100	0	0	100	100	100	100	100	99	100	100	78	100	100	100	0	100	100	100	100	0	0	97	100	100	100	100	80	98	100	100	100	100	100	100	91	100	0	100	100	99	100	100	100	100	0	100	100	100	100	100	0	0	100	100	100	84	100	100	100	100	9	100	100	79	0	99	100	100	0	0	100	100	100	0	0	100	0	100	100	0	0	0	0	100	0	100	100	100	100	0	100	0	91	100	100	0	100	0	99	100	100	100	100	100	100	100	100	0	100	100	90	100	100	100	0	100	100	100	100	100	100	0	100	100	0	0	100	100	100	67	100	100	100	100	0	100	100	100	94	98	100	100	100	0	87	100	100	100	100	100	100	100	99	100	100	98	100	0	100	100	100	91	0	0	74	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	94	100	0	0	100	100	99	0	97	100	0	0	0	100	100	100	100	88	0	0	0	0	100	0	99	100	0	0	100	0	0	0	0	100	100	100	100	100	0	100	0	100	100	0	0	100	100	100	100	100	100	100	88	100	100	100	100	100	100	0	0	100	100	100	100	100	100	100	100	84	100	100	100	100	100	0	100	100	0	100	100	100	100	0	100	0	100	0	76	100	100	100	100	100	100	100	100	90	100	37	100	100	94	100	100	100	100	100	100	100	100	100	100	99	100	100	1	100	100	100	100	0	0	76	100	100	100	100	100	100	0	0	100	100	92	100	100	100	100	100	85	100	100	100	100	100	0	100	100	100	100	100	0	100	100	100	100	0	100	100	100	0	0	0	100	100	100	100	100	0	0	100	100	87	100	100	100	100	100	99	100	100	100	99	100	100	0	0	0	100	100	100	100	100	0	0	100	100	100	100	99	99	100	100	0	99	100	0	0	0	100	0	0	0	89	100	100	0	100	0	100	100
Cyzicus_pilosus	0	0	100	0	0	0	100	100	100	100	0	100	0	91	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	99	0	76	100	100	100	100	76	0	100	11	91	100	100	0	0	100	5	97	100	100	82	0	0	100	99	100	88	100	100	100	100	100	100	100	0	100	100	0	100	0	0	100	0	0	0	100	0	0	95	100	100	100	0	0	97	0	0	0	100	100	100	100	100	74	100	100	100	100	100	0	100	0	100	100	100	81	100	96	100	100	100	99	54	100	100	100	0	0	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	35	100	100	100	100	88	87	100	100	100	100	11	100	100	100	100	100	100	100	100	90	100	100	100	0	0	100	100	100	100	100	99	0	0	100	0	100	0	100	0	100	100	99	0	0	100	100	100	100	100	100	100	100	0	91	100	0	0	0	100	100	0	100	100	82	100	100	97	100	100	0	0	100	100	100	0	88	0	0	0	0	0	80	100	0	100	0	0	100	100	100	0	0	0	100	100	100	100	100	100	100	100	0	100	0	100	100	100	100	100	0	0	100	100	100	100	100	100	100	0	100	99	100	100	100	100	100	100	0	0	100	100	100	100	100	100	100	20	100	100	0	100	100	98	100	100	100	100	91	0	99	99	0	0	0	100	0	75	100	0	0	100	100	100	100	100	100	100	100	100	100	0	99	100	100	0	0	100	0	0	0	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	0	100	100	89	100	0	100	100	0	100	0	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	80	100	100	100	95	100	90	100	88	100	0	76	0	100	100	100	0	100	100	100	100	100	18	100	100	100	100	100	100	0	100	1	100	100	100	100	100	100	100	100	0	100	100	0	100	100	100	100	100	99	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	88	100	100	100	100	0	100	100	100	100	100	100	100	100	99	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	98	100	0	0	100	100	0	100	100	0	0	0	94	100	100	100	0	0	100	0	0	0	100	100	72	100	100	100	100	86	0	100	100	89	100	100	100	0	100	100	100	100
Ozestheria_sp._rubra	100	100	100	100	100	100	98	98	100	100	100	100	100	100	100	99	70	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	90	76	100	100	100	0	0	93	100	0	100	100	100	100	100	0	100	99	100	99	100	100	100	88	100	100	100	100	100	100	85	100	0	100	0	0	100	100	0	0	100	100	100	100	100	100	100	0	100	4	88	0	0	100	0	0	100	100	87	100	1	0	100	100	100	100	100	100	100	64	0	85	100	100	100	100	100	0	0	0	100	0	0	100	97	100	100	100	100	100	100	100	0	100	100	99	100	0	0	100	100	100	100	100	100	100	100	100	100	100	0	99	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	0	84	100	100	0	100	0	100	100	100	100	99	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	0	100	100	0	0	0	100	100	100	0	0	100	100	100	0	100	0	0	0	87	100	0	100	0	100	100	100	100	100	100	100	89	87	100	100	100	100	0	0	100	100	0	100	0	100	100	100	100	100	0	0	100	100	0	100	100	88	100	0	100	99	100	100	100	100	100	100	0	0	0	77	100	100	100	100	100	20	0	100	100	100	100	100	100	100	100	100	0	0	99	99	13	100	100	100	100	0	0	0	100	100	100	100	100	81	100	100	100	100	100	100	100	99	100	0	100	100	100	100	100	100	100	100	100	0	88	100	100	100	0	100	100	0	100	0	0	100	100	88	0	100	100	100	0	79	0	100	100	100	100	100	100	100	100	77	100	0	0	100	100	100	100	0	100	0	100	100	0	100	100	100	100	100	100	0	76	0	100	100	100	100	100	100	100	100	100	100	100	92	100	100	0	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	0	100	100	100	95	93	100	100	100	99	100	100	100	92	0	100	90	100	100	100	100	100	100	0	100	100	100	100	0	100	100	100	100	75	98	0	0	100	100	0	100	96	100	0	100	100	100	100	100	100	0	100	0	0	0	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	0	100	100
Ozestheria_sp._K	0	0	100	0	100	100	0	0	0	0	0	0	0	89	0	0	0	100	0	0	0	0	0	76	100	50	100	0	0	0	100	0	82	0	0	100	100	1	0	100	100	100	0	0	0	88	0	100	1	0	0	0	0	0	0	100	0	0	100	0	100	0	100	0	86	100	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	100	0	0	100	100	0	0	0	0	0	0	0	100	0	0	81	100	0	100	0	91	91	100	0	0	0	100	0	0	0	0	0	94	0	100	0	100	100	0	100	0	0	0	100	0	0	0	0	0	80	84	100	0	0	0	0	100	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	100	0	100	100	2	0	0	0	100	100	100	0	0	77	0	100	89	0	0	0	100	100	0	0	100	0	100	0	100	0	0	0	100	100	0	0	0	0	0	100	0	91	100	0	0	0	0	96	0	100	100	0	100	100	100	100	0	0	96	0	100	0	0	0	0	100	100	100	0	0	80	0	100	0	0	97	0	0	0	0	0	100	0	0	0	0	0	85	0	0	100	0	100	0	0	0	100	0	0	100	100	0	0	96	86	100	0	100	0	0	0	0	0	100	100	76	0	100	100	0	0	0	0	0	0	0	0	100	100	100	0	92	100	100	4	0	0	99	99	0	0	0	100	0	0	0	0	0	90	0	0	97	78	100	100	100	100	80	0	99	0	0	0	0	92	0	0	0	81	0	100	100	0	100	0	0	100	0	100	100	0	0	0	90	80	0	0	0	0	0	98	86	0	0	57	100	0	0	0	0	100	98	100	0	0	0	0	73	0	100	0	100	0	100	83	94	0	100	0	0	0	100	0	0	0	0	87	100	100	100	100	0	0	0	0	0	0	100	100	0	99	0	0	100	100	0	0	0	0	0	100	0	0	0	0	0	100	100	0	100	77	0	0	100	0	0	0	100	0	0	100	100	100	100	100	85	0	100	0	100	100	0	0	89	0	100	6	0	100	0	0	0	100	0	100	0	0	0	0	100	100	100	100	100	100	0	100	100	0	0	100	100	100	0	100	100	0	100	100	0	100	0	0	0	0	0	100	95	100	0	0	100	0	0	0	0	0	0	82	73	0	0	100	100	100	100	0	100	0	0	100	0	0	0	0	100	100
Eocyzicus_sp._W	0	98	100	78	100	100	0	93	0	0	0	76	100	0	100	100	100	100	0	0	100	100	100	100	100	4	93	100	100	100	0	100	100	100	100	100	100	100	0	0	100	11	100	100	100	97	100	83	0	0	0	0	89	100	99	0	99	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	0	100	100	100	100	0	0	83	0	97	0	0	0	100	68	100	100	100	0	0	100	97	0	0	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	0	97	100	0	96	100	100	100	89	100	100	100	0	100	95	100	100	100	100	94	100	100	100	0	0	0	100	0	0	100	94	95	0	0	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	94	100	100	0	100	100	100	99	100	92	0	0	0	87	0	100	100	100	100	0	0	100	92	0	100	100	100	100	100	85	100	100	10	100	100	100	100	100	0	0	100	100	0	100	100	0	0	0	100	88	0	100	0	100	100	0	100	100	100	100	100	100	0	100	71	100	0	0	0	100	100	100	0	100	0	100	100	100	0	0	0	99	100	0	100	100	100	100	100	100	100	0	100	97	100	0	0	0	100	99	100	100	100	99	100	100	0	0	100	100	100	100	100	100	100	20	88	0	100	100	100	0	100	100	100	4	100	100	0	0	0	0	0	100	100	100	92	100	0	100	100	100	100	100	100	85	100	69	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	0	98	0	100	98	0	100	100	96	100	0	0	100	100	100	95	95	100	0	98	100	81	100	0	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	0	76	100	100	95	100	100	0	81	100	100	100	100	100	100	100	100	100	97	100	0	100	100	100	100	93	100	82	0	100	90	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	100	100	0	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	0	0	100	100	0	100	100	100	0	100	100	0	0	100	100	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	0	100	100	100	0	0	0	0	100	99	100	100	100	100	93	100	0	82	75	100	100	100	100	97	100	100
Eulimnadia_sp.	100	94	0	77	100	100	100	84	100	100	0	0	0	100	100	6	96	0	0	0	0	100	88	100	0	100	100	100	100	100	76	94	0	61	100	0	0	0	100	0	100	100	0	0	93	95	99	100	100	100	100	100	0	100	99	100	99	100	100	100	0	100	0	100	100	100	100	100	100	100	100	100	100	100	0	100	100	0	100	100	100	0	100	100	100	0	0	100	100	100	100	100	100	100	100	100	100	76	100	100	100	0	100	100	0	88	100	0	100	100	100	100	100	100	100	100	0	100	0	100	100	100	0	100	100	0	0	0	100	100	100	83	100	100	0	100	100	100	0	100	0	100	0	100	0	0	100	100	0	100	87	0	0	100	0	100	100	100	0	100	11	100	100	0	100	100	20	100	100	100	100	100	100	100	0	100	100	100	100	0	0	100	0	100	100	100	0	0	100	100	89	99	0	0	84	100	100	89	100	0	0	100	100	100	100	100	100	100	100	89	86	100	100	0	100	100	100	0	100	0	0	0	0	100	0	100	100	100	100	14	100	0	100	0	98	0	0	100	100	100	100	100	0	100	100	0	100	100	100	100	100	100	0	100	100	100	0	100	100	0	0	100	89	100	0	100	100	100	100	0	98	100	100	100	0	0	0	100	0	100	100	83	100	100	100	0	81	0	0	0	100	0	67	100	100	0	73	0	0	99	99	100	100	100	100	0	100	100	100	0	100	100	0	0	100	100	100	100	100	0	100	78	90	99	100	0	100	100	100	100	100	100	100	100	100	100	0	100	100	74	100	0	100	100	100	98	100	100	0	100	0	0	0	100	100	100	66	96	89	100	0	100	100	100	100	0	92	0	0	100	100	100	100	100	100	100	100	0	100	100	0	100	78	100	100	100	100	100	100	100	0	100	81	100	100	100	0	0	100	0	100	100	0	100	100	1	0	100	100	100	100	94	100	100	0	0	100	100	0	0	100	100	100	100	100	100	100	100	0	0	100	93	100	100	100	100	100	0	100	100	0	0	100	100	100	100	0	100	6	100	100	100	0	0	100	100	89	100	0	100	100	0	100	100	100	100	0	100	100	100	100	100	100	0	0	100	100	0	0	0	0	100	100	0	100	100	0	100	0	100	100	100	100	0	100	0	100	100	100	100	0	100	0	0	0	0	0	100	100	100	0	100	100	100	0	87	0	66	100
Metalimnadia_sp.	100	87	0	0	0	98	97	87	0	0	91	0	100	95	100	6	0	100	78	100	0	0	100	100	0	34	100	0	0	100	100	0	100	71	98	0	0	100	0	82	0	90	94	88	90	100	100	100	1	0	0	0	0	100	99	100	0	0	0	100	0	100	0	100	100	0	100	100	100	81	100	100	100	0	0	100	100	100	0	0	97	100	100	100	100	0	0	0	100	100	100	0	100	100	77	0	86	100	100	100	100	100	100	0	0	100	4	0	100	100	89	100	100	0	0	0	0	0	100	100	100	80	100	100	100	0	0	0	100	100	100	100	100	0	0	97	87	79	0	0	0	91	0	100	100	0	0	0	0	100	72	100	100	100	0	0	100	100	0	87	11	100	100	0	100	100	100	100	100	100	100	100	100	100	98	0	0	100	100	0	88	100	100	100	85	100	0	0	0	0	0	99	100	100	100	100	79	100	82	100	0	100	100	100	100	100	100	100	100	0	0	100	100	94	100	100	100	0	0	100	100	0	0	100	0	75	100	88	100	14	100	100	0	0	100	0	0	100	100	100	100	100	87	100	100	100	100	0	0	100	0	100	100	100	100	0	100	79	100	100	100	100	100	0	100	100	100	100	0	100	0	0	0	0	0	0	0	78	0	100	100	100	100	100	100	0	0	0	100	100	100	0	78	100	97	0	85	100	100	99	99	0	0	0	100	0	100	0	0	100	100	100	0	0	100	0	100	100	100	0	100	100	0	0	100	89	100	100	0	0	100	100	100	100	100	0	95	100	100	0	100	100	0	100	0	87	96	100	0	100	0	98	0	100	100	100	100	64	100	100	100	0	100	100	0	100	0	0	100	100	100	0	70	100	100	100	100	100	0	100	0	100	92	0	89	100	100	100	100	100	0	100	95	100	100	100	57	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	0	0	100	100	100	0	0	0	100	100	100	100	100	100	0	100	93	100	100	89	100	100	0	0	100	100	0	100	100	88	77	0	100	100	100	100	100	0	0	100	100	0	100	0	100	100	0	100	100	0	100	100	0	100	100	0	100	100	100	100	100	100	100	85	0	0	100	100	0	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	5	0	0	0	0	100	0	0	0	100	100	0	0	0	100	100
Paralimnadia_urukhai	100	100	100	0	79	100	0	93	0	0	0	100	0	100	100	6	96	100	100	100	0	100	0	100	0	100	100	34	100	100	100	100	79	100	100	100	100	100	100	95	100	100	0	0	77	0	78	100	100	100	100	100	0	100	99	100	99	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	0	0	97	100	100	100	100	100	100	100	100	100	100	83	92	100	100	100	100	100	100	100	100	91	0	100	100	100	100	91	100	100	100	100	100	100	96	100	93	100	0	100	100	90	100	100	100	100	100	100	100	100	100	100	100	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	100	100	100	100	100	0	100	100	100	100	0	100	100	100	0	100	100	100	0	100	100	100	100	100	0	100	100	100	96	100	94	100	100	0	0	0	80	100	83	100	100	100	0	100	100	100	100	100	0	100	0	94	100	100	78	100	100	100	100	100	100	100	0	100	0	100	0	100	100	100	100	14	100	0	0	0	100	82	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	38	100	0	0	100	100	100	100	0	100	0	100	100	0	100	86	83	100	100	100	100	100	100	100	100	100	20	100	100	100	100	100	100	100	100	0	97	100	100	0	0	0	0	0	100	100	100	89	100	100	100	100	0	0	100	100	100	100	100	100	0	0	100	99	100	100	96	100	100	100	100	100	100	100	100	0	100	100	100	100	100	0	96	100	0	98	100	85	100	100	0	100	0	100	100	100	0	0	0	100	100	100	0	100	100	100	0	0	100	100	0	100	95	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	100	88	100	81	100	100	100	0	100	0	0	100	100	100	100	100	100	93	100	100	100	0	100	100	100	100	84	0	100	100	100	100	99	100	100	0	0	100	100	100	0	100	0	100	0	100	0	100	100	100	100	100	100	100	0	100	100	0	0	100	100	100	100	0	100	75	0	100	100	100	100	100	0	0	100	0	0	100	100	100	80	100	100	100	0	0	87	0	0	100	0	100	100	100	75	100	100	100	100	100	100	81	100	100	83	100	100	100	96	0	0	0	100	100	100	100	100	0	100	100	0	100	100	100
Limnadopsis_birchii	100	3	0	89	100	100	100	96	100	100	0	100	0	100	100	100	100	0	0	0	0	0	100	100	0	100	100	100	100	0	100	100	100	100	100	100	100	1	100	100	0	90	0	0	0	0	0	100	100	100	100	100	0	100	99	100	0	0	100	0	98	99	100	100	3	82	88	100	0	100	100	100	100	0	84	0	0	100	93	100	100	100	100	100	100	100	3	100	100	100	100	100	0	100	100	0	0	100	100	0	0	0	100	100	100	0	0	0	0	100	100	100	100	0	0	0	100	100	0	0	100	0	100	0	100	0	0	0	100	100	100	100	0	0	100	100	100	92	0	0	0	100	100	100	100	0	0	0	95	0	0	100	100	100	100	80	100	100	99	100	11	0	99	0	0	0	0	89	100	100	100	100	0	0	100	0	0	73	100	0	100	0	0	100	100	100	0	0	100	100	76	93	0	0	100	100	100	93	100	100	0	100	0	91	0	100	0	0	0	100	84	0	0	0	100	100	0	0	0	100	0	100	0	100	0	0	100	100	100	10	100	0	100	0	0	0	0	100	100	100	0	0	0	100	0	99	100	0	0	95	100	100	100	100	100	0	100	100	100	0	0	100	0	0	100	0	0	100	76	0	0	0	0	100	84	0	0	100	85	100	100	100	100	0	0	0	0	0	100	100	100	100	100	100	100	87	97	0	100	99	99	0	0	0	100	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	100	100	0	97	100	100	0	100	0	0	100	100	100	0	0	95	0	100	100	0	100	0	0	100	100	0	100	100	0	0	0	100	93	79	100	0	0	0	95	0	100	100	100	83	100	0	100	100	100	100	100	100	0	100	100	100	100	0	100	100	0	100	81	100	0	0	100	100	100	100	100	0	0	0	0	100	0	0	0	0	0	100	0	100	0	0	0	0	84	100	100	98	100	100	100	0	100	100	100	100	100	0	0	99	100	0	100	93	100	100	100	100	100	100	0	0	0	100	0	0	100	100	100	100	100	100	0	100	99	0	100	100	100	100	100	0	100	100	0	100	100	100	100	93	0	100	100	96	100	100	0	0	95	100	0	0	100	100	100	0	0	100	0	0	100	0	100	100	100	100	100	0	0	100	0	0	0	100	100	0	100	100	100	5	100	100	100	0	100	0	100	0	0	0	100	100	100	100	100
